127.0.0.1 - - [05/May/2020:17:12:50 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [05/May/2020:17:12:52 +0900] "GET /Project/index.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [05/May/2020:17:34:19 +0900] "GET /Project/index.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [05/May/2020:17:34:44 +0900] "GET /Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2020:17:34:55 +0900] "GET /Project/index.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [05/May/2020:17:34:56 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/May/2020:17:35:49 +0900] "GET /Project/index.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [05/May/2020:17:36:27 +0900] "GET /Project/index.html HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2020:17:37:35 +0900] "GET /Project/index.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [05/May/2020:17:44:02 +0900] "GET /Project/index.html HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [05/May/2020:17:45:17 +0900] "GET /Project/index.html HTTP/1.1" 200 1138
